"","X","Y","Nnat","Synpr","Pcp4","Slc17a7","Cdh9","Ctgf","Slc17a6","Lxn","Slc30a3","Gfra1","Spon1","Gnb4","RSC","LEC","region","anum","section","id"
"1",134.92,33.948,0.183489606661135,0,5.51779460030985,0,0.735830769569655,0.367915384784827,0.735830769569655,0,0,0,1.10374615435448,0,0,0,"cla","123456","1",1
"2",167.766,32.075,0,0,0,0,2.16686552396473,0,2.16686552396473,0,0.721670110293048,0,0,0,0,0,"cla","123456","1",2
"3",233.271,35.724,0,0,0,0.669470367948642,0,0,1.00420555192296,0,0,0.334735183974321,0.669470367948642,0.669470367948642,0,0,"cla","123456","1",3
"4",279.353,34.97,0,0.243893149154436,0.488865471535219,13.1972093849982,0.243893149154436,0.488865471535219,0.732758620689655,0,0,0,0,0,0,0,"cla","123456","1",4
"5",363.526,37.364,0.161358232312047,0.242657957053886,0.889332103473705,38.7961045250884,0.323337073209909,0.323337073209909,0.0806791161560234,0,0.404016189365933,0,3.15207100735725,2.02070155541548,0,0,"cla","123456","1",5
"6",412.295,32.073,0,12.5748425872925,0,23.0532698912421,0,0,0,0,0,1.39761018889525,0,0,0,0,"cla","123456","1",6
"7",574.718,33.013,0,1.02403871146615,0,3.84097367828242,0,0,0.256285847961323,0,0,0,0,0,0,0,"cla","123456","1",7
"8",608.245,35.527,0.163374360182023,0.491006185195703,2.29077346114686,59.2439585252499,0.654380545377726,0,0.327631825013679,0,0,0,0,0,0,0,"cla","123456","1",8
"9",122.879,36.482,0,0,5.66017047996421,0.217973093883812,0.652900715792165,0.652900715792165,1.08884690355979,0,0,0,1.08884690355979,1.30580143158433,0,0,"cla","123456","1",9
"10",259.918,32.622,2.20966038504116,1.10483019252058,2.20966038504116,54.1285676112433,1.65643410655435,0.551603914033771,0,0,0,0,0,8.28541526167784,0,0,"cla","123456","1",10
"11",343.703,34.316,0,1.46835965775163,0,75.7962285862767,0.293435290187271,0,0,0,0.293435290187271,0.881489077377086,0,0,0,0,"cla","123456","1",11
"12",544.964,37.763,0.243568963659071,2.37641400384182,0.487676796706768,39.2431632267076,0.0608922409147678,0.182676722744303,0.121784481829536,0,0,1.82784496622029,1.09659920585445,2.13284504018275,0,0,"cla","123456","1",12
"13",504.616,34.056,1.69009189898834,5.91358406054522,0,8.1666537956599,1.12595567225268,0.281488918063171,0.281488918063171,0,0,0.281488918063171,0,0,0,0,"cla","123456","1",13
"14",526.058,36.321,0.287037337399033,9.3332630486262,0.287037337399033,89.1701754955072,0.574074674798067,0.143932267168391,0.143932267168391,0,0.143932267168391,4.73818405942842,0,4.16410938463036,0,0,"cla","123456","1",14
"15",626.488,34.043,0,0,1.10263544483838,12.8689337271533,0,1.10263544483838,0.367986378949663,0,0,0,0,0,0,0,"cla","123456","1",15
"16",183.498,36.788,0,0,6.6692124084703,0,0.988393119264103,0.247369518322959,0.988393119264103,0,0,0,3.21146392208754,0,0,0,"cla","123456","1",16
"17",215.234,39.181,0,0,0.295599596909641,3.25579442391669,0,0.444239166946591,0.14779979845482,0,0,0.14779979845482,0,0.887638562311051,0,0,"cla","123456","1",17
"18",654.902,37.495,0.173961160044267,0.609508360747692,1.7421888028137,18.2936267301366,0,0.0869805800221336,0.0869805800221336,0,0,0,0.0869805800221336,1.04505556145112,0,0,"cla","123456","1",18
"19",303.642,36.61,0,0,0,0,1.56864807995792,2.61336138874277,0.522356654392425,0,0,0,0,0,0,0,"cla","123456","1",19
"20",476.614,39.525,20.1235134897447,1.01331874102231,0.289875607062939,59.3563911390797,0.723443133959369,0.144522508965477,0,0,0.289875607062939,0,2.17115999101009,1.5922393660162,0,0,"cla","123456","1",20
"21",854.269,39.286,0.268148319053683,0,0,0,0,0,0,0,0,0,0,0,0,0,"cla","123456","1",21
"22",239.665,38.094,0,0,0,0,0,0,0.475822118819716,0,0,0.475822118819716,0.951644237639431,0.951644237639431,0,0,"cla","123456","1",22
"23",262.995,39.317,0.776986824762403,0.776986824762403,0,26.8108080705668,1.16616061089559,0,0,0,0,0,0,5.82808155947,0,0,"cla","123456","1",23
"24",463.834,39.801,6.21200852793892,0.414414861090452,0.414414861090452,45.1403143437949,0,0,0,0,0,0,0,0,0,0,"cla","123456","1",24
"25",719.022,41.317,0,0,0.3077251995439,0,0,0,0,0,0,0,0,0,0,0,"cla","123456","1",25
"26",560.248,43.528,0.151045237033537,4.53305424850086,0,35.5100563715866,0.151045237033537,0.604180948134147,0.302090474067074,0,0,4.38200901146733,0.151045237033537,3.32469235223257,0,0,"cla","123456","1",26
"27",375.967,45.734,0.544721998388397,0.680902497985496,4.36019339242546,63.3609991941982,0,0.544721998388397,0,0,0.136180499597099,0.408541498791297,4.08783239323127,2.45286059629331,0,0,"cla","123456","1",27
"28",792.489,45.044,0,0.501773415917677,0.166960193552679,1.33836005420035,0,0,0.166960193552679,0,0,0,1.50532024775303,0,0,0,"cla","123456","1",28
"29",703.888,47.115,0.207447424590896,0.207447424590896,0.207447424590896,6.53775832685276,0,0.104075318099839,0.207447424590896,0,0,0,0,0,0,0,"cla","123456","1",29
"30",771.155,46.475,0.100282880444364,0.100282880444364,1.50562641880952,26.7001440167938,0.903237530071303,0,0,0,0,0,0,0,0,0,"cla","123456","1",30
"31",220.947,47.292,0,0,0,0.279530537273003,0,0,1.12043231882154,0,0,0,0,0,0,0,"cla","123456","1",31
"32",743.175,46.28,0.247369518322959,0,0,0,0,0.493654082618186,0.247369518322959,0,0,0.247369518322959,0.493654082618186,0,0,0,"cla","123456","1",32
"33",604.902,48.172,0,0.80165037093921,6.73578637741179,78.1036504257916,0.320834990332268,0,0.641669980664537,0,0,0,1.12248536127148,0,0,0,"cla","123456","1",33
"34",638.15,51.259,0.506495185161249,1.0129903703225,0.506495185161249,11.3988883862212,1.26678730692173,0.253796936599237,0,0,0,0,0,0,0,0,"cla","123456","1",34
"35",157.077,51.07,0,0.440568459878738,0.660852689818107,1.10142114969685,0.220284229939369,0,0,0,0,0,0.660852689818107,0,0,0,"cla","123456","1",35
"36",830.486,49.204,0.473142917729385,0,0,0,0,0,0.473142917729385,0,0,0,0,0,0,0,"cla","123456","1",36
"37",432.107,52.524,0.142910363147494,0.716203958664032,5.01177556772166,37.231866921507,0.716203958664032,0,0.142910363147494,0,0.286646797758269,0.572467524053257,2.00487544138132,1.43240791732806,0,0,"cla","123456","1",37
"38",594.089,55.166,0,1.03663679058076,4.35317171583543,30.5776227014155,0,0.207327358116153,0.414654716232306,0,0.310639634872338,0.103312276756185,1.24396414869692,0.725294351104643,0,0,"cla","123456","1",38
"39",576.878,54.089,0.373602873982101,1.1208086219463,1.1208086219463,57.5291819436377,0.747205747964201,0.560404310973151,0.373602873982101,0,0.18680143699105,0,0.747205747964201,0,0,0,"cla","123456","1",39
"40",108.038,52.871,0,0,5.97738019011969,0.230261537703788,0.230261537703788,0,0.919999507461951,0,0,0,0,0,0,0,"cla","123456","1",40
"41",419.2,54.31,0,3.77554240631164,2.6422090729783,32.8425246548323,0,0.376883629191322,0,0,0,0,0,0,0,0,"cla","123456","1",41
"42",654.872,54.504,0.175816599155391,1.05581530638628,11.4381517710937,81.8243126777558,0,0,0,0,0,0,2.46326381108334,2.81581272084806,0,0,"cla","123456","1",42
"43",247.198,53.467,0,0,0,0,0.344805919432185,0,0,0,0,0,0,0,0,0,"cla","123456","1",43
"44",478.235,55.732,0.139644140422343,5.17826604922852,0,31.7678169974829,0.280104913244817,0.280104913244817,0,0,0,3.07870414849259,0,19.5926445439348,0,0,"cla","123456","1",44
"45",352.122,54.63,0.634518631634921,0,1.26903726326984,91.9565261851847,0,0,0,0,0,0,0.634518631634921,0,0,0,"cla","123456","1",45
"46",810.718,55.791,0.370277551531859,1.85326733913915,5.93101935968924,43.184324290458,0,0.185138775765929,0.185138775765929,0,0,0,0.926633669569576,2.77990100870873,0,0,"cla","123456","1",46
"47",117.78,56.232,0,0,6.52495003218266,0,1.74065855889427,0,0.434804702056303,0,0,0,0,0,0,0,"cla","123456","1",47
"48",344.465,60.583,0.244026287265519,2.52118995771773,7.72542404327829,48.5494033610984,0.325575888367006,0.325575888367006,0,0,0.0815496011014872,0,0,0.732078861796557,0,0,"cla","123456","1",48
"49",397.825,57.818,6.42797946545731,0,1.00479983425033,31.7387601003706,0.402115610396188,1.20536844770828,0,0,0,0,1.40593706116623,0.200568613457953,0,0,"cla","123456","1",49
"50",329.53,59.294,0,1.95221029812415,0.651151776734012,4.22937396857637,0,1.30105852139014,0,1.95221029812415,0,0,0,2.60211704278028,0,0,"cla","123456","1",50
"51",693.564,57.33,0,0,0,0,0.677679949809318,0,0,0,0,0,0,0,0,0,"cla","123456","1",51
"52",744.107,58.723,0.319516407599309,0.319516407599309,0.639032815198618,0.958549222797927,0.639032815198618,0,0.319516407599309,0,1.27806563039724,0,2.55489760671108,0,0,0,"cla","123456","1",52
"53",535.997,60.601,1.56357635445606,0.78178817722803,0.390894088614015,23.6544007993883,0,0.195929629601593,0,0,0,0,2.15040007267167,0,0,0,"cla","123456","1",53
"54",663.475,63.591,0.176371865941108,0.706135889742155,4.05849819457865,58.9393276712607,0,0,0,0,0,0,0.617949956771601,1.41162335350659,0,0,"cla","123456","1",54
"55",568.87,63.438,0.195650463195723,1.23856219151252,0.71738503171765,42.5765507985153,0.130433642130482,0.0652168210652409,0.0652168210652409,0,0.0652168210652409,0.456517747456686,0.326084105326204,8.34552346144262,0,0,"cla","123456","1",55
"56",504.114,62.178,0.347922320088534,6.27162196989221,0,120.565392720161,0.347922320088534,0,0,0,0,10.1052104967937,0,18.4682321907736,0,0,"cla","123456","1",56
"57",471.687,61.127,0,0.684159416952818,0,4.78656308502438,0.342079708476409,0,0,0,0,2.39328154251219,0,6.15360550210734,0,0,"cla","123456","1",57
"58",86.878,63.822,0,0,2.94378216274989,0.840794633359371,0.210198658339843,0.420397316679685,0,0,0,0,0.210198658339843,0,0,0,"cla","123456","1",58
"59",265.091,61.762,0,0.672898770422772,0,0,1.34400791645612,0.672898770422772,0,0,0,0,0,0,0,0,"cla","123456","1",59
"60",429.124,64.66,0.330416942535072,3.19547964162208,9.25529738377297,59.4975122116169,0.440555923380096,0,0,0,0,0.220277961690048,4.73742537345241,2.42378217714872,0,0,"cla","123456","1",60
"61",386.727,63.913,0.59038480313533,1.76996889775311,0.295192401567665,7.66788937084199,0,1.47477649618544,0,0,0,0.59038480313533,0,3.833944685421,0,0,"cla","123456","1",61
"62",709.314,64.925,0.494569089866356,1.48370726959907,1.81341999617664,31.3218227003354,0.164856363288785,0.494569089866356,0.329712726577571,0,0.164856363288785,0,0,0.824281816443927,0,0,"cla","123456","1",62
"63",836.159,67.524,0.197837554146716,0,0.197837554146716,52.1040111354932,0.197837554146716,0,0,0,0.789410632722681,0,0,0,0,0,"cla","123456","1",63
"64",674.428,67.519,0,0.66079410076697,0.494930346614724,75.777561348893,0,0,0,0,0,0,0,1.48567801179151,0,0,"cla","123456","1",64
"65",752.217,65.009,0.420628485104303,1.26330171283851,6.73430453424566,28.6225645924511,0.841256970208606,0,0,0,0,0,4.20911736609424,2.94581565325573,0,0,"cla","123456","1",65
"66",640.099,69.642,0.141220108249431,0,0.141220108249431,0,0,0,0,0,0.141220108249431,0,0,0,0,0,"cla","123456","1",66
"67",417.119,70.635,0.0881859329705538,1.67618115241825,1.58799521944769,27.617110817271,0.617949956771601,0,0,0,0,0.352743731882215,2.11775924324874,0.352743731882215,0,0,"cla","123456","1",67
"68",829.92,70.174,0,1.79563449047375,0.769557638774466,101.594876553381,0,0,0,0,1.02607685169929,0,0,1.28259606462411,0,0,"cla","123456","1",68
"69",371.845,70.162,1.6475957453043,0,0.732264775690802,42.2892248073373,0,0.1830661939227,0,0,0,0,4.94278723591291,0.915330969613502,0,0.366132387845401,"cla","123456","1",69
"70",725.019,71.54,0.282059691702197,1.27008855362414,0.282059691702197,15.2369629386684,0,0.282059691702197,0,0,0.141029845851099,1.12905870777304,0,11.4275172187602,0,0,"cla","123456","1",70
"71",101.029,71.115,0.316675651738611,1.58092340867958,0,5.69034233124109,0.316675651738611,1.26424775694097,0.316675651738611,0.948799530209095,0,0.316675651738611,0,1.89637163541145,0,0,"cla","123456","1",71
"72",443.277,72.531,0.434563102146375,0,2.39060591789657,24.5604481126428,0.434563102146375,0,0,0,0.652353509311069,0,3.04295942720764,3.69531293651871,0,0,"cla","123456","1",72
"73",464.606,70.928,0,6.64989882292587,0,66.0614757602531,0,0,0,0,0,0.886653176390116,0,3.98993929375552,0,0,"cla","123456","1",73
"74",180.882,72.391,0.31481179025037,0,1.88887074150222,0,0,0,0,0,0,0.31481179025037,1.57405895125185,0.31481179025037,0,0,"cla","123456","1",74
"75",504.541,74.326,0,3.72856522027801,0,43.3744877080102,0,0,0,0,0,2.60961086934215,0,11.4342666755192,0,0,"cla","123456","1",75
"76",737.539,71.526,1.09892158995556,0.731733847157908,0.731733847157908,4.39304472138484,0.365866923578954,0,0,0,1.46478851353451,0.365866923578954,0,0,0,0,"cla","123456","1",76
"77",127.288,71.638,2.57279973471543,0,0.515186313281423,0,0,0,0.515186313281423,0,0,0,0,0,0,0,"cla","123456","1",77
"78",686.605,75.055,0,0.432821608010168,1.29948083719485,44.6243141911141,0.216410804005084,0,0,0,0.432821608010168,0,0.216410804005084,0,0,0,"cla","123456","1",78
"79",599.232,73.641,0,0,0.709604861907131,8.50974327919199,0,0,0,0,0,0,2.12697623115687,0,0,0,"cla","123456","1",79
"80",660.63,73.144,0,0,0.744159758854559,14.1522230595328,0.744159758854559,0,0,0,0,0,0,0,0,0,"cla","123456","1",80
"81",807.435,79.053,0.0661993769470405,0,0.198037119172079,1.05694598447648,0.131837742225038,0.0661993769470405,0,0,0.131837742225038,0,0.131837742225038,0,0,0,"cla","123456","1",81
"82",527.457,77.314,0,4.91536314086941,0,29.9650272180959,0,0,0,0,0,3.32906115464719,0.317260397244445,4.28084234638052,0,0,"cla","123456","1",82
"83",629.427,77.671,0,0.185282174036522,0.185282174036522,21.1616696234606,0,0.185282174036522,0,0,0,0,0,0,0,0,"cla","123456","1",83
"84",649.127,77.473,0,0,0.432098519894511,0.863182724014622,0,0,0,0,0,0,0,0,0,0,"cla","123456","1",84
"85",298.696,77.186,0.243245638841639,0.243245638841639,2.6735494109851,51.53686249847,0,17.2596772763917,0,0,0.729736916524918,0,0.971906247230089,0.486491277683278,0,0,"cla","123456","1",85
"86",289.481,78.335,0,0,0,7.65851627009234,0.438067130649282,0,0,0,0.656590128222584,0,1.09363612336919,1.96977038466775,0,0,"cla","123456","1",86
"87",566.804,78.104,0,1.19175598225561,0,2.38488812615355,0,0,0,0,0,0.397710714632646,0,0,0,0,"cla","123456","1",87
"88",389.2,78.87,3.0858569142111,0,0.280952877539639,3.92755936214878,0,0,0,0,0,0,0,0,0,0.280952877539639,"cla","123456","1",88
"89",186.141,84.18,0.123961655892336,0.123961655892336,2.41942705579341,0,0.123961655892336,0,0,0,0,0,0.496390315042557,0.0619808279461681,0,0,"cla","123456","1",89
"90",862.567,80.319,0,0,0,0,0,0,0,0,0,1.81647940074906,0,0,0,0,"cla","123456","1",90
"91",696.406,81.08,0,0.284000657282138,0,8.81333187270636,0,0.284000657282138,0,0,0,0,0.284000657282138,0,0,0,"cla","123456","1",91
"92",853.912,82.278,0.145851445604356,0,0,12.5357233904864,0.437554336813068,0,0,0,0,0,0,0,0,0,"cla","123456","1",92
"93",605.564,79.693,0,0,0,1.6657523061024,0,0,0,0,0,0,0,0,0,0,"cla","123456","1",93
"94",662.5,82.279,0,0.197995683831114,3.75609459032554,40.3270620744254,0.197995683831114,0,0,0,0,0,1.77904945324721,0,0,0,"cla","123456","1",94
"95",434.548,84.866,0,0.904159162053129,0,43.5479320497398,0.150834424409988,0,0,0,0,1.95915274851625,0.150834424409988,2.86331191056938,0,0,"cla","123456","1",95
"96",170.528,82.576,0,0.460869262016423,0,2.76521557209854,0.460869262016423,0,0,0,0,0,0,2.76521557209854,0,0,"cla","123456","1",96
"97",143.798,84.403,0,0,3.347408809946,0,0.152425890862461,0,0.304000240435188,0,0,0,0,0,0,0,"cla","123456","1",97
"98",820.668,84.891,0,0,0.5379268996758,13.7256295243594,0,0,0,0,0.269529688679664,0,0,0,0,0,"cla","123456","1",98
"99",212.659,85.247,0,0,0,0,0.336698832499404,0,0,0,0,0,0,0.336698832499404,0,0,"cla","123456","1",99
"100",461.22,88.319,0.822322379598412,2.46696713879524,0.117474625656916,31.8393647831407,0.352423876970748,0,0,0,0,1.17474625656916,2.2320178874814,4.22983476967227,0,0,"cla","123456","1",100
"101",131.713,88.53,0,0,0,0,0.718103523449482,0,0.718103523449482,0,0,0.718103523449482,0,0,0,0,"cla","123456","1",101
"102",199.136,92.461,0.353615577455048,0,0.177267029737206,0,0.353615577455048,0,0.353615577455048,0,0,0.353615577455048,0,0,0,0,"cla","123456","1",102
"103",108.792,89.89,0,0,0,0,0.308032529604794,0.617277785704095,0.308032529604794,0,0,0,0,0,0,0,"cla","123456","1",103
"104",480.298,90.758,0,0.233114648311465,2.80159504939027,41.3277462481592,0.233114648311465,0.233114648311465,0,0,0,0,0,0,0,0.700398762347569,"cla","123456","1",104
"105",594.428,90.652,0,0,0,1.71206105844341,0,0,0,0,0,0.428372241478752,0.428372241478752,0,0,0,"cla","123456","1",105
"106",745.78,90.933,0,0,2.00506220124106,20.0480983343725,0,0,0.668774680086696,0,0,0,0,0,0,0,"cla","123456","1",106
"107",304.887,91.076,0,0,0.365866923578954,17.939366628337,0,4.75891164496379,0,0,0,0,0,0,0,0,"cla","123456","1",107
"108",125.136,92.019,0,0,0,0,0.411583859456492,1.64493549272578,0.823167718912984,0,0,0,0,0,0,0,"cla","123456","1",108
"109",638.106,93.973,0,2.18283227848101,0,16.9865506329114,0,0.0948180379746835,0,0,0.189636075949367,0.379272151898734,0.948852848101266,2.56210443037975,0,0,"cla","123456","1",109
"110",728.152,99.243,0.0719611801954756,0.287259670536411,0.718441701463773,10.9182076813656,0.646480521268297,0,0,0,0,0,0,0,0,0,"cla","123456","1",110
"111",277.516,95.132,0,0,0,0.682165929955797,0,0,0.341720503230194,0,0,0,0,0,0,0,"cla","123456","1",111
"112",404.645,93.101,0.329468693964776,0,0,1.64609073714721,0,0,0,0,0,0,0.658937387929552,0,0,0,"cla","123456","1",112
"113",372.571,96.126,0,0.668244604920648,0,46.7708770677639,1.00192081618944,0.166838105634394,0,0,1.00192081618944,0,0.835082710555042,0,0,0,"cla","123456","1",113
