 ,Area,Mean,X,Y,Perim.,Major,Minor,Angle,Circ.,Feret,%Area,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
133,162.005,0.330,140.516,105.987,46.986,15.345,13.442,140.355,0.922,15.669,0.130,297,217,127.875,13.605,1.142,0.876,0.964
134,307.851,0.174,685.879,109.289,65.264,20.394,19.220,71.529,0.908,21.608,0.068,1484,259,57.995,19.240,1.061,0.942,0.970
135,277.632,0.000,475.748,108.950,61.599,19.647,17.992,139.641,0.919,20.250,0.000,1025,220,127.648,18.324,1.092,0.916,0.972
136,283.088,0.189,655.556,109.398,62.738,19.048,18.922,134.602,0.904,20.203,0.074,1420,219,122.969,18.782,1.007,0.993,0.965
137,345.414,0.155,598.035,109.987,70.937,25.113,17.512,150.010,0.863,25.629,0.061,1280,226,151.144,18.028,1.434,0.697,0.966
138,187.816,0.000,735.578,107.881,51.030,16.826,14.212,24.967,0.906,17.317,0.000,1589,246,37.476,14.576,1.184,0.845,0.961
139,225.799,0.000,376.233,108.608,55.232,17.795,16.156,173.550,0.930,18.169,0.000,805,226,146.310,15.575,1.101,0.908,0.974
140,157.178,0.000,290.442,108.358,46.116,15.039,13.307,168.296,0.929,15.501,0.000,620,228,145.840,12.827,1.130,0.885,0.970
141,233.773,0.000,411.107,110.811,58.045,19.854,14.992,137.684,0.872,20.471,0.000,884,224,130.462,15.224,1.324,0.755,0.964
142,192.223,0.000,670.840,108.419,53.288,18.322,13.358,11.001,0.851,18.335,0.000,1446,232,167.005,13.672,1.372,0.729,0.951
143,307.851,5.215,545.466,112.315,64.570,20.155,19.447,133.254,0.928,20.932,2.045,1170,235,156.801,19.435,1.036,0.965,0.972
144,240.908,0.000,846.748,111.577,57.286,17.946,17.092,43.100,0.922,18.551,0.000,1830,253,32.905,17.408,1.050,0.952,0.970
145,155.919,0.000,767.038,110.367,46.940,16.753,11.850,144.045,0.889,16.844,0.000,1658,233,157.620,11.889,1.414,0.707,0.957
146,283.508,0.000,796.158,112.026,62.247,20.563,17.554,161.807,0.919,21.295,0.000,1716,236,161.175,17.408,1.171,0.854,0.974
147,246.784,0.217,87.040,113.089,59.924,19.416,16.183,46.836,0.864,20.614,0.085,178,267,53.130,17.353,1.200,0.833,0.964
148,262.103,0.612,452.764,115.770,61.220,20.428,16.336,123.843,0.879,21.092,0.240,977,233,124.380,16.720,1.250,0.800,0.959
149,215.516,0.745,516.897,115.139,54.427,17.516,15.666,50.211,0.914,18.053,0.292,1112,262,35.707,16.196,1.118,0.894,0.964
150,410.887,0.130,672.225,119.402,78.470,26.551,19.704,69.488,0.839,27.444,0.051,1451,285,56.575,19.780,1.347,0.742,0.952
151,257.067,0.000,143.253,117.503,59.767,19.088,17.148,132.501,0.904,19.703,0.000,296,244,144.462,17.362,1.113,0.898,0.967
152,146.476,0.000,426.175,115.367,44.395,14.302,13.040,87.277,0.934,14.666,0.000,927,236,104.470,12.827,1.097,0.912,0.966
153,267.350,0.000,503.906,118.471,61.062,19.964,17.050,108.945,0.901,20.741,0.000,1090,238,120.530,17.408,1.171,0.854,0.967
154,173.127,1.855,555.810,116.327,49.623,17.293,12.747,99.144,0.883,17.558,0.727,1209,236,105.124,12.827,1.357,0.737,0.962
